Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
Abak 	 4.9833 , 7.7833 	 4.9833333333333 , 7.7833333333333
Abbotsford, British Columbia 	 49.0489 , -122.2903 	 49.054611111111 , -122.328
Abbotsford, New South Wales 	 -33.8522 , 151.1273 	 -33.8521 , 151.127
Abbotsford, Victoria 	 -37.803 , 145.002 	 -37.8 , 145.0
Abbotsford, Wisconsin 	 44.9467 , -90.3183 	 44.946666666667 , -90.318333333333
Aberdeen, Hong Kong 	 22.2478 , 114.1517 	 22.2478 , 114.152
Aberdeen, Mississippi 	 33.825 , -88.5436 	 33.824444444444 , -88.549722222222
Aberdeen, New South Wales 	 -32.165 , 150.9011 	 -32.166666666667 , 150.9
Aberdeen, Saskatchewan 	 52.3167 , -106.2833 	 52.3261 , -106.292
Aberdeen, South Dakota 	 45.4647 , -98.4864 	 45.464722222222 , -98.486388888889
Aberdeen, Washington 	 46.9758 , -123.8187 	 46.975833333333 , -123.81861111111
Acton, California 	 34.4728 , -118.1836 	 34.472777777778 , -118.18361111111
Acton, Cheshire 	 53.0731 , -2.5486 	 53.073116666667 , -2.5485888888889
Acton, County Armagh 	 54.5167 , -6.6333 	 54.516666666667 , -6.6333333333333
Acton, Indiana 	 39.6556 , -85.9667 	 39.655555555556 , -85.966666666667
Acton, London 	 51.5135 , -0.2707 	 51.510519444444 , -0.26266111111111
Acton, Maine 	 43.5481 , -70.9319 	 43.534166666667 , -70.909722222222
Acton, Massachusetts 	 42.485 , -71.4333 	 42.48509 , -71.43284
Acton, Suffolk 	 52.0707 , 0.761 	 52.070711111111 , 0.76101944444444
Acton, Wrexham 	 53.0607 , -2.9805 	 53.0607 , -2.9805
Adak, Alaska 	 51.8833 , -176.645 	 51.872 , -176.636
Ada, Minnesota 	 47.2997 , -96.5153 	 47.299722222222 , -96.515277777778
Adams County, Colorado 	 39.87 , -104.35 	 39.87 , -104.35
Adams County, Illinois 	 39.99 , -91.19 	 39.99 , -91.19
Adams County, Indiana 	 40.75 , -84.94 	 40.75 , -84.94
Adams County, Ohio 	 38.84 , -83.48 	 38.84 , -83.48
Adams County, Pennsylvania 	 39.87 , -77.22 	 39.87 , -77.22
Adams County, Washington 	 46.99 , -118.56 	 46.99 , -118.56
Adams County, Wisconsin 	 43.97 , -89.77 	 43.97 , -89.77
Ada, Ohio 	 40.7689 , -83.8222 	 40.768611111111 , -83.822222222222
Ada, Oklahoma 	 34.7636 , -96.6683 	 34.763611111111 , -96.668333333333
